source_name,source_section,source_url,record_type,hardware,hardware_count,model_name,precision_or_quantization,engine,serving_script,scenario_type,workload_name,dataset_name,batch_size,input_tokens,output_tokens,num_prompts,max_request_concurrency,peak_concurrent_requests,compute_text,bandwidth_text,request_throughput_req_s,output_token_throughput_tok_s,peak_output_token_throughput_tok_s,total_token_throughput_tok_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,comparison_value,notes
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,Groq LPU,,Llama 8B,FP8,,,slide_summary,Short,,1,100,,,,,1.2PFLOP/s FP8,150TB/s (SRAM),,,,,52,,,,,,,,,3.7x,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,H100 PCIe,,Llama 8B,FP16,,,slide_summary,Short,,1,100,,,,,800TFLOP/s FP16,2TB/s,,,,,190,,,,,,,,,,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,ours@1GHz,,Llama 8B,FP16,,,slide_summary,Short,,1,100,,,,,7.168TFLOP/s FP16,896GB/s,,,,,348.84,,,,,,,,,,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,Groq LPU,,Llama 8B,FP8,,,slide_summary,Medium,,1,1000,,,,,1.2PFLOP/s FP8,150TB/s (SRAM),,,,,80,,,,,,,,,3.5x,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,H100 PCIe,,Llama 8B,FP16,,,slide_summary,Medium,,1,1000,,,,,800TFLOP/s FP16,2TB/s,,,,,280,,,,,,,,,,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,ours@1GHz,,Llama 8B,FP16,,,slide_summary,Medium,,1,1000,,,,,7.168TFLOP/s FP16,896GB/s,,,,,3300.00,,,,,,,,,,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,Groq LPU,,Llama 8B,FP8,,,slide_summary,Long,,1,8000,,,,,1.2PFLOP/s FP8,150TB/s (SRAM),,,,,210,,,,,,,,,3.9x,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,H100 PCIe,,Llama 8B,FP16,,,slide_summary,Long,,1,8000,,,,,800TFLOP/s FP16,2TB/s,,,,,820,,,,,,,,,,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,ours@1GHz,,Llama 8B,FP16,,,slide_summary,Long,,1,8000,,,,,7.168TFLOP/s FP16,896GB/s,,,,,53700.00,,,,,,,,,,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,Groq LPU,,Llama 8B,FP8,,,slide_summary,Very long,,1,32000,,,,,1.2PFLOP/s FP8,150TB/s (SRAM),,,,,680,,,,,,,,,5.0x,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,H100 PCIe,,Llama 8B,FP16,,,slide_summary,Very long,,1,32000,,,,,800TFLOP/s FP16,2TB/s,,,,,3400,,,,,,,,,,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Current PPT slide,TTFT-llama 8B (batchsize=1),,static_comparison,ours@1GHz,,Llama 8B,FP16,,,slide_summary,Very long,,1,32000,,,,,7.168TFLOP/s FP16,896GB/s,,,,,606000.00,,,,,,,,,,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
