model,hardware,compute,bandwidth,execution_scenario,ttft,source_section,source_url,notes
Llama 8B,Groq LPU,1.2PFLOP/s FP8,150TB/s (SRAM),"Short, batch=1, in=100",mean=52 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,H100 PCIe,800TFLOP/s FP16,2TB/s,"Short, batch=1, in=100",mean=190 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,ours@1GHz,7.168TFLOP/s FP16,896GB/s,"Short, batch=1, in=100",mean=348.84 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,Groq LPU,1.2PFLOP/s FP8,150TB/s (SRAM),"Medium, batch=1, in=1000",mean=80 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,H100 PCIe,800TFLOP/s FP16,2TB/s,"Medium, batch=1, in=1000",mean=280 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,ours@1GHz,7.168TFLOP/s FP16,896GB/s,"Medium, batch=1, in=1000",mean=3300.00 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,Groq LPU,1.2PFLOP/s FP8,150TB/s (SRAM),"Long, batch=1, in=8000",mean=210 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,H100 PCIe,800TFLOP/s FP16,2TB/s,"Long, batch=1, in=8000",mean=820 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,ours@1GHz,7.168TFLOP/s FP16,896GB/s,"Long, batch=1, in=8000",mean=53700.00 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,Groq LPU,1.2PFLOP/s FP8,150TB/s (SRAM),"Very long, batch=1, in=32000",mean=680 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,H100 PCIe,800TFLOP/s FP16,2TB/s,"Very long, batch=1, in=32000",mean=3400 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Llama 8B,ours@1GHz,7.168TFLOP/s FP16,896GB/s,"Very long, batch=1, in=32000",mean=606000.00 ms,TTFT-llama 8B (batchsize=1),,Extracted from current PPT slide. comparison_value is Groq speed gain vs H100 from the slide.
Qwen3-8B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"ShareGPT high concurrency, prompts=1000, peak_conc=1000.00, vLLM","mean=43963.16 ms, median=41177.19 ms, p99=91086.90 ms",Experiment Results / Choosing the Inference Engine,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,Choosing the Inference Engine result for vLLM on the GPUStack 2.0 page.
Qwen3-8B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"random 32K input, in=32768, out=100, prompts=100, peak_conc=100.00, vLLM","mean=559550.01 ms, median=561560.86 ms, p99=1096851.78 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,Baseline vLLM result for 'random 32K input' on the GPUStack 2.0 page.
Qwen3-8B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"random 4K input, in=4096, out=200, prompts=500, peak_conc=500.00, vLLM","mean=132541.20 ms, median=135284.67 ms, p99=262452.37 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,Baseline vLLM result for 'random 4K input' on the GPUStack 2.0 page.
Qwen3-8B,Ascend 910B,~313 TFLOPS FP16,392 GB/s,"random 2K input, in=2048, out=100, prompts=500, peak_conc=500.00, vLLM","mean=53978.52 ms, median=57661.39 ms, p99=103428.31 ms",Other Benchmark Cases / Baseline benchmark results,https://docs.gpustack.ai/2.0/performance-lab/qwen3-8b/910b/?utm_source=chatgpt.com,Baseline vLLM result for 'random 2K input' on the GPUStack 2.0 page.
